"placa","estatus","placa_anterior","years_adeudos","years"
"322UPU","Adeudos",NA,4,"2020"
"322UPU","Adeudos",NA,4,"2021"
"322UPV","Sin adeudos",NA,0,"0"
"322UPZ","Sin adeudos",NA,0,"0"
"322URB","Cuenta con Placa Anterior y Sin adeudos","322URB",0,"0"
"322URC","Sin adeudos",NA,0,"0"
"322URE","Adeudos",NA,2,"2020"
"322URE","Adeudos",NA,2,"2021"
"322URM","Sin adeudos",NA,0,"0"
"322URP","Adeudos",NA,6,"2016"
"322URP","Adeudos",NA,6,"2017"
"322URP","Adeudos",NA,6,"2018"
"322URP","Adeudos",NA,6,"2019"
"322URP","Adeudos",NA,6,"2020"
"322URP","Adeudos",NA,6,"2021"
"322URR","Adeudos",NA,2,"2020"
"322URR","Adeudos",NA,2,"2021"
"322URU","Adeudos",NA,1,"2021"
"322USA","Sin adeudos",NA,0,"0"
"322USE","Sin adeudos",NA,0,"0"
"322USJ","Adeudos",NA,6,"2016"
"322USJ","Adeudos",NA,6,"2017"
"322USJ","Adeudos",NA,6,"2018"
"322USJ","Adeudos",NA,6,"2019"
"322USJ","Adeudos",NA,6,"2020"
"322USJ","Adeudos",NA,6,"2021"
"322USN","Adeudos",NA,4,"2018"
"322USN","Adeudos",NA,4,"2019"
"322USN","Adeudos",NA,4,"2020"
"322USN","Adeudos",NA,4,"2021"
"322USR","Sin adeudos",NA,0,"0"
"322USU","Adeudos",NA,6,"2016"
"322USU","Adeudos",NA,6,"2017"
"322USU","Adeudos",NA,6,"2018"
"322USU","Adeudos",NA,6,"2019"
"322USU","Adeudos",NA,6,"2020"
"322USU","Adeudos",NA,6,"2021"
"322USV","Adeudos",NA,5,"2017"
"322USV","Adeudos",NA,5,"2018"
"322USV","Adeudos",NA,5,"2019"
"322USV","Adeudos",NA,5,"2020"
"322USV","Adeudos",NA,5,"2021"
"322USZ","Adeudos",NA,6,"2016"
"322USZ","Adeudos",NA,6,"2017"
"322USZ","Adeudos",NA,6,"2018"
"322USZ","Adeudos",NA,6,"2019"
"322USZ","Adeudos",NA,6,"2020"
"322USZ","Adeudos",NA,6,"2021"
"322UTD","Sin adeudos",NA,0,"0"
"322UTF","Sin adeudos",NA,0,"0"
"322UTJ","Sin adeudos",NA,0,"0"
"322UTL","Adeudos",NA,5,"2017"
"322UTL","Adeudos",NA,5,"2018"
"322UTL","Adeudos",NA,5,"2019"
"322UTL","Adeudos",NA,5,"2020"
"322UTL","Adeudos",NA,5,"2021"
"322UTP","Adeudos",NA,6,"2016"
"322UTP","Adeudos",NA,6,"2017"
"322UTP","Adeudos",NA,6,"2018"
"322UTP","Adeudos",NA,6,"2019"
"322UTP","Adeudos",NA,6,"2020"
"322UTP","Adeudos",NA,6,"2021"
"322UTS","Adeudos",NA,3,"2019"
"322UTS","Adeudos",NA,3,"2020"
"322UTS","Adeudos",NA,3,"2021"
"322UTU","Adeudos",NA,3,"2019"
"322UTU","Adeudos",NA,3,"2020"
"322UTU","Adeudos",NA,3,"2021"
"322UTX","Adeudos",NA,1,"2021"
"322UTY","Sin adeudos",NA,0,"0"
"322UTZ","Adeudos",NA,4,"2018"
"322UTZ","Adeudos",NA,4,"2019"
"322UTZ","Adeudos",NA,4,"2020"
"322UTZ","Adeudos",NA,4,"2021"
"322UUF","Adeudos",NA,1,"2021"
"322UUG","Sin adeudos",NA,0,"0"
"322UUU","Adeudos",NA,6,"2015"
"322UUU","Adeudos",NA,6,"2016"
"322UUU","Adeudos",NA,6,"2018"
"322UUU","Adeudos",NA,6,"2019"
"322UUU","Adeudos",NA,6,"2020"
"322UUU","Adeudos",NA,6,"2021"
"322UVC","Adeudos",NA,2,"2020"
"322UVC","Adeudos",NA,2,"2021"
"322UVK","Adeudos",NA,5,"2017"
"322UVK","Adeudos",NA,5,"2018"
"322UVK","Adeudos",NA,5,"2019"
"322UVK","Adeudos",NA,5,"2020"
"322UVK","Adeudos",NA,5,"2021"
"322UVL","Sin adeudos",NA,0,"0"
"322UVM","Adeudos",NA,4,"2018"
"322UVM","Adeudos",NA,4,"2019"
"322UVM","Adeudos",NA,4,"2020"
"322UVM","Adeudos",NA,4,"2021"
"322UVV","Adeudos",NA,3,"2019"
"322UVV","Adeudos",NA,3,"2020"
"322UVV","Adeudos",NA,3,"2021"
"322UVZ","Adeudos",NA,5,"2017"
"322UVZ","Adeudos",NA,5,"2018"
"322UVZ","Adeudos",NA,5,"2019"
"322UVZ","Adeudos",NA,5,"2020"
"322UVZ","Adeudos",NA,5,"2021"
"322UWC","Adeudos",NA,4,"2018"
"322UWC","Adeudos",NA,4,"2019"
"322UWC","Adeudos",NA,4,"2020"
"322UWC","Adeudos",NA,4,"2021"
"322UWG","Adeudos",NA,5,"2017"
"322UWG","Adeudos",NA,5,"2018"
"322UWG","Adeudos",NA,5,"2019"
"322UWG","Adeudos",NA,5,"2020"
"322UWG","Adeudos",NA,5,"2021"
"322UWP","Adeudos",NA,6,"2016"
"322UWP","Adeudos",NA,6,"2017"
"322UWP","Adeudos",NA,6,"2018"
"322UWP","Adeudos",NA,6,"2019"
"322UWP","Adeudos",NA,6,"2020"
"322UWP","Adeudos",NA,6,"2021"
"322UWY","Adeudos",NA,2,"2020"
"322UWY","Adeudos",NA,2,"2021"
"322UXC","Adeudos",NA,5,"2017"
"322UXC","Adeudos",NA,5,"2018"
"322UXC","Adeudos",NA,5,"2019"
"322UXC","Adeudos",NA,5,"2020"
"322UXC","Adeudos",NA,5,"2021"
"322UXF","Adeudos",NA,3,"2019"
"322UXF","Adeudos",NA,3,"2020"
"322UXF","Adeudos",NA,3,"2021"
"322UXG","Adeudos",NA,2,"2020"
"322UXG","Adeudos",NA,2,"2021"
"322UXM","Adeudos",NA,6,"2016"
"322UXM","Adeudos",NA,6,"2017"
"322UXM","Adeudos",NA,6,"2018"
"322UXM","Adeudos",NA,6,"2019"
"322UXM","Adeudos",NA,6,"2020"
"322UXM","Adeudos",NA,6,"2021"
"322UXP","Adeudos",NA,6,"2016"
"322UXP","Adeudos",NA,6,"2017"
"322UXP","Adeudos",NA,6,"2018"
"322UXP","Adeudos",NA,6,"2019"
"322UXP","Adeudos",NA,6,"2020"
"322UXP","Adeudos",NA,6,"2021"
"322UXX","Adeudos",NA,6,"2016"
"322UXX","Adeudos",NA,6,"2017"
"322UXX","Adeudos",NA,6,"2018"
"322UXX","Adeudos",NA,6,"2019"
"322UXX","Adeudos",NA,6,"2020"
"322UXX","Adeudos",NA,6,"2021"
"322UXY","Adeudos",NA,2,"2020"
"322UXY","Adeudos",NA,2,"2021"
"322UYA","Sin adeudos",NA,0,"0"
"322UYC","Sin adeudos",NA,0,"0"
"322UYD","Adeudos",NA,6,"2015"
"322UYD","Adeudos",NA,6,"2016"
"322UYD","Adeudos",NA,6,"2017"
"322UYD","Adeudos",NA,6,"2019"
"322UYD","Adeudos",NA,6,"2020"
"322UYD","Adeudos",NA,6,"2021"
"322UYH","Adeudos",NA,1,"2021"
"322UYJ","Adeudos",NA,5,"2017"
"322UYJ","Adeudos",NA,5,"2018"
"322UYJ","Adeudos",NA,5,"2019"
"322UYJ","Adeudos",NA,5,"2020"
"322UYJ","Adeudos",NA,5,"2021"
"322UYL","Adeudos",NA,1,"2021"
"322UYN","Adeudos",NA,5,"2017"
"322UYN","Adeudos",NA,5,"2018"
"322UYN","Adeudos",NA,5,"2019"
"322UYN","Adeudos",NA,5,"2020"
"322UYN","Adeudos",NA,5,"2021"
"322UYW","Adeudos",NA,1,"2021"
"322UYX","Adeudos",NA,5,"2017"
"322UYX","Adeudos",NA,5,"2018"
"322UYX","Adeudos",NA,5,"2019"
"322UYX","Adeudos",NA,5,"2020"
"322UYX","Adeudos",NA,5,"2021"
"322UZB","Cuenta con Placa Anterior y Adeudos","369RKM",6,"2016"
"322UZB","Cuenta con Placa Anterior y Adeudos","369RKM",6,"2017"
"322UZB","Cuenta con Placa Anterior y Adeudos","369RKM",6,"2018"
"322UZB","Cuenta con Placa Anterior y Adeudos","369RKM",6,"2019"
"322UZB","Cuenta con Placa Anterior y Adeudos","369RKM",6,"2020"
"322UZB","Cuenta con Placa Anterior y Adeudos","369RKM",6,"2021"
"322UZM","Sin adeudos",NA,0,"0"
"322UZN","Cuenta con Placa Anterior y Adeudos","178MWU",6,"2016"
"322UZN","Cuenta con Placa Anterior y Adeudos","178MWU",6,"2017"
"322UZN","Cuenta con Placa Anterior y Adeudos","178MWU",6,"2018"
"322UZN","Cuenta con Placa Anterior y Adeudos","178MWU",6,"2019"
"322UZN","Cuenta con Placa Anterior y Adeudos","178MWU",6,"2020"
"322UZN","Cuenta con Placa Anterior y Adeudos","178MWU",6,"2021"
"322UZP","Sin adeudos",NA,0,"0"
"322UZW","Adeudos",NA,5,"2017"
"322UZW","Adeudos",NA,5,"2018"
"322UZW","Adeudos",NA,5,"2019"
"322UZW","Adeudos",NA,5,"2020"
"322UZW","Adeudos",NA,5,"2021"
"322UZZ","Adeudos",NA,5,"2017"
"322UZZ","Adeudos",NA,5,"2018"
"322UZZ","Adeudos",NA,5,"2019"
"322UZZ","Adeudos",NA,5,"2020"
"322UZZ","Adeudos",NA,5,"2021"
"322VAA","Cuenta con Placa Anterior y Sin adeudos","188UGL",0,"0"
"322VAC","Sin adeudos",NA,0,"0"
"322VAD","Adeudos",NA,6,"2016"
"322VAD","Adeudos",NA,6,"2017"
"322VAD","Adeudos",NA,6,"2018"
"322VAD","Adeudos",NA,6,"2019"
"322VAD","Adeudos",NA,6,"2020"
"322VAD","Adeudos",NA,6,"2021"
"322VAF","Adeudos",NA,6,"2016"
"322VAF","Adeudos",NA,6,"2017"
"322VAF","Adeudos",NA,6,"2018"
"322VAF","Adeudos",NA,6,"2019"
"322VAF","Adeudos",NA,6,"2020"
"322VAF","Adeudos",NA,6,"2021"
"322VAJ","Cuenta con Placa Anterior y Adeudos","983TZA",6,"2016"
"322VAJ","Cuenta con Placa Anterior y Adeudos","983TZA",6,"2017"
"322VAJ","Cuenta con Placa Anterior y Adeudos","983TZA",6,"2018"
"322VAJ","Cuenta con Placa Anterior y Adeudos","983TZA",6,"2019"
"322VAJ","Cuenta con Placa Anterior y Adeudos","983TZA",6,"2020"
"322VAJ","Cuenta con Placa Anterior y Adeudos","983TZA",6,"2021"
"322VAL","Adeudos",NA,3,"2019"
"322VAL","Adeudos",NA,3,"2020"
"322VAL","Adeudos",NA,3,"2021"
"322VAN","Adeudos",NA,6,"2016"
"322VAN","Adeudos",NA,6,"2017"
"322VAN","Adeudos",NA,6,"2018"
"322VAN","Adeudos",NA,6,"2019"
"322VAN","Adeudos",NA,6,"2020"
"322VAN","Adeudos",NA,6,"2021"
"322VAU","Adeudos",NA,5,"2017"
"322VAU","Adeudos",NA,5,"2018"
"322VAU","Adeudos",NA,5,"2019"
"322VAU","Adeudos",NA,5,"2020"
"322VAU","Adeudos",NA,5,"2021"
"322VAV","Adeudos",NA,4,"2018"
"322VAV","Adeudos",NA,4,"2019"
"322VAV","Adeudos",NA,4,"2020"
"322VAV","Adeudos",NA,4,"2021"
"322VAW","Adeudos",NA,2,"2014"
"322VAW","Adeudos",NA,2,"2021"
"322VAX","Sin adeudos",NA,0,"0"
"322VBA","Adeudos",NA,5,"2017"
"322VBA","Adeudos",NA,5,"2018"
"322VBA","Adeudos",NA,5,"2019"
"322VBA","Adeudos",NA,5,"2020"
"322VBA","Adeudos",NA,5,"2021"
"322VBB","Adeudos",NA,6,"2016"
"322VBB","Adeudos",NA,6,"2017"
"322VBB","Adeudos",NA,6,"2018"
"322VBB","Adeudos",NA,6,"2019"
"322VBB","Adeudos",NA,6,"2020"
"322VBB","Adeudos",NA,6,"2021"
"322VBK","Cuenta con Placa Anterior y Adeudos","350LYE",6,"2016"
"322VBK","Cuenta con Placa Anterior y Adeudos","350LYE",6,"2017"
"322VBK","Cuenta con Placa Anterior y Adeudos","350LYE",6,"2018"
"322VBK","Cuenta con Placa Anterior y Adeudos","350LYE",6,"2019"
"322VBK","Cuenta con Placa Anterior y Adeudos","350LYE",6,"2020"
"322VBK","Cuenta con Placa Anterior y Adeudos","350LYE",6,"2021"
"322VBL","Sin adeudos",NA,0,"0"
"322VBN","Adeudos",NA,3,"2019"
"322VBN","Adeudos",NA,3,"2020"
"322VBN","Adeudos",NA,3,"2021"
"322VBS","El número de placa no se localizó en el padrón",NA,0,"0"
"322VBT","Adeudos",NA,2,"2020"
"322VBT","Adeudos",NA,2,"2021"
"322VBU","Adeudos",NA,5,"2017"
"322VBU","Adeudos",NA,5,"2018"
"322VBU","Adeudos",NA,5,"2019"
"322VBU","Adeudos",NA,5,"2020"
"322VBU","Adeudos",NA,5,"2021"
"322VBZ","Sin adeudos",NA,0,"0"
"322VCA","Adeudos",NA,6,"2016"
"322VCA","Adeudos",NA,6,"2017"
"322VCA","Adeudos",NA,6,"2018"
"322VCA","Adeudos",NA,6,"2019"
"322VCA","Adeudos",NA,6,"2020"
"322VCA","Adeudos",NA,6,"2021"
"322VCB","Sin adeudos",NA,0,"0"
"322VCT","Adeudos",NA,6,"2016"
"322VCT","Adeudos",NA,6,"2017"
"322VCT","Adeudos",NA,6,"2018"
"322VCT","Adeudos",NA,6,"2019"
"322VCT","Adeudos",NA,6,"2020"
"322VCT","Adeudos",NA,6,"2021"
"322VCU","Sin adeudos",NA,0,"0"
"322VDA","Adeudos",NA,3,"2019"
"322VDA","Adeudos",NA,3,"2020"
"322VDA","Adeudos",NA,3,"2021"
"322VDC","Adeudos",NA,2,"2020"
"322VDC","Adeudos",NA,2,"2021"
"322VDE","Adeudos",NA,6,"2016"
"322VDE","Adeudos",NA,6,"2017"
"322VDE","Adeudos",NA,6,"2018"
"322VDE","Adeudos",NA,6,"2019"
"322VDE","Adeudos",NA,6,"2020"
"322VDE","Adeudos",NA,6,"2021"
"322VDG","Sin adeudos",NA,0,"0"
"322VDK","Cuenta con Placa Anterior y Sin adeudos","396RJS",0,"0"
"322VDN","Adeudos",NA,5,"2017"
"322VDN","Adeudos",NA,5,"2018"
"322VDN","Adeudos",NA,5,"2019"
"322VDN","Adeudos",NA,5,"2020"
"322VDN","Adeudos",NA,5,"2021"
"322VDP","Sin adeudos",NA,0,"0"
"322VDU","Sin adeudos",NA,0,"0"
"322VDX","Adeudos",NA,4,"2018"
"322VDX","Adeudos",NA,4,"2019"
"322VDX","Adeudos",NA,4,"2020"
"322VDX","Adeudos",NA,4,"2021"
"322VDZ","Adeudos",NA,3,"2019"
"322VDZ","Adeudos",NA,3,"2020"
"322VDZ","Adeudos",NA,3,"2021"
"322VEG","Cuenta con Placa Anterior y Adeudos","959TJY",6,"2016"
"322VEG","Cuenta con Placa Anterior y Adeudos","959TJY",6,"2017"
"322VEG","Cuenta con Placa Anterior y Adeudos","959TJY",6,"2018"
"322VEG","Cuenta con Placa Anterior y Adeudos","959TJY",6,"2019"
"322VEG","Cuenta con Placa Anterior y Adeudos","959TJY",6,"2020"
"322VEG","Cuenta con Placa Anterior y Adeudos","959TJY",6,"2021"
"322VEH","Cuenta con Placa Anterior y Sin adeudos","752RCW",0,"0"
"322VEJ","Cuenta con Placa Anterior y Adeudos","274RKH",4,"2018"
"322VEJ","Cuenta con Placa Anterior y Adeudos","274RKH",4,"2019"
"322VEJ","Cuenta con Placa Anterior y Adeudos","274RKH",4,"2020"
"322VEJ","Cuenta con Placa Anterior y Adeudos","274RKH",4,"2021"
"322VEL","Adeudos",NA,4,"2018"
"322VEL","Adeudos",NA,4,"2019"
"322VEL","Adeudos",NA,4,"2020"
"322VEL","Adeudos",NA,4,"2021"
"322VER","Adeudos",NA,5,"2017"
"322VER","Adeudos",NA,5,"2018"
"322VER","Adeudos",NA,5,"2019"
"322VER","Adeudos",NA,5,"2020"
"322VER","Adeudos",NA,5,"2021"
"322VES","Cuenta con Placa Anterior y Adeudos","885SAV",3,"2019"
"322VES","Cuenta con Placa Anterior y Adeudos","885SAV",3,"2020"
"322VES","Cuenta con Placa Anterior y Adeudos","885SAV",3,"2021"
"322VFJ","Adeudos",NA,6,"2016"
"322VFJ","Adeudos",NA,6,"2017"
"322VFJ","Adeudos",NA,6,"2018"
"322VFJ","Adeudos",NA,6,"2019"
"322VFJ","Adeudos",NA,6,"2020"
"322VFJ","Adeudos",NA,6,"2021"
"322VFP","Adeudos",NA,4,"2018"
"322VFP","Adeudos",NA,4,"2019"
"322VFP","Adeudos",NA,4,"2020"
"322VFP","Adeudos",NA,4,"2021"
"322VFS","Adeudos",NA,3,"2019"
"322VFS","Adeudos",NA,3,"2020"
"322VFS","Adeudos",NA,3,"2021"
"322VFV","Adeudos",NA,4,"2018"
"322VFV","Adeudos",NA,4,"2019"
"322VFV","Adeudos",NA,4,"2020"
"322VFV","Adeudos",NA,4,"2021"
"322VFW","Sin adeudos",NA,0,"0"
"322VGE","Sin adeudos",NA,0,"0"
"322VGJ","Adeudos",NA,5,"2017"
"322VGJ","Adeudos",NA,5,"2018"
"322VGJ","Adeudos",NA,5,"2019"
"322VGJ","Adeudos",NA,5,"2020"
"322VGJ","Adeudos",NA,5,"2021"
"322VGK","Adeudos",NA,4,"2018"
"322VGK","Adeudos",NA,4,"2019"
"322VGK","Adeudos",NA,4,"2020"
"322VGK","Adeudos",NA,4,"2021"
"322VGM","Sin adeudos",NA,0,"0"
"322VGN","Adeudos",NA,4,"2018"
"322VGN","Adeudos",NA,4,"2019"
"322VGN","Adeudos",NA,4,"2020"
"322VGN","Adeudos",NA,4,"2021"
"322VGR","Adeudos",NA,3,"2019"
"322VGR","Adeudos",NA,3,"2020"
"322VGR","Adeudos",NA,3,"2021"
"322VGS","Adeudos",NA,4,"2018"
"322VGS","Adeudos",NA,4,"2019"
"322VGS","Adeudos",NA,4,"2020"
"322VGS","Adeudos",NA,4,"2021"
"322VGX","Adeudos",NA,6,"2016"
"322VGX","Adeudos",NA,6,"2017"
"322VGX","Adeudos",NA,6,"2018"
"322VGX","Adeudos",NA,6,"2019"
"322VGX","Adeudos",NA,6,"2020"
"322VGX","Adeudos",NA,6,"2021"
"322VHB","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"322VHD","Adeudos",NA,5,"2017"
"322VHD","Adeudos",NA,5,"2018"
"322VHD","Adeudos",NA,5,"2019"
"322VHD","Adeudos",NA,5,"2020"
"322VHD","Adeudos",NA,5,"2021"
"322VHF","Cuenta con Placa Anterior y Adeudos","322VHF",3,"2019"
"322VHF","Cuenta con Placa Anterior y Adeudos","322VHF",3,"2020"
"322VHF","Cuenta con Placa Anterior y Adeudos","322VHF",3,"2021"
"322VHL","Sin adeudos",NA,0,"0"
"322VHW","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"322VHY","Cuenta con Placa Anterior y Adeudos","878UYN",3,"2019"
"322VHY","Cuenta con Placa Anterior y Adeudos","878UYN",3,"2020"
"322VHY","Cuenta con Placa Anterior y Adeudos","878UYN",3,"2021"
"322VJB","Adeudos",NA,4,"2018"
"322VJB","Adeudos",NA,4,"2019"
"322VJB","Adeudos",NA,4,"2020"
"322VJB","Adeudos",NA,4,"2021"
"322VJE","Cuenta con Placa Anterior y Adeudos","936NVU",5,"2017"
"322VJE","Cuenta con Placa Anterior y Adeudos","936NVU",5,"2018"
"322VJE","Cuenta con Placa Anterior y Adeudos","936NVU",5,"2019"
"322VJE","Cuenta con Placa Anterior y Adeudos","936NVU",5,"2020"
"322VJE","Cuenta con Placa Anterior y Adeudos","936NVU",5,"2021"
"322VJG","Adeudos",NA,3,"2019"
"322VJG","Adeudos",NA,3,"2020"
"322VJG","Adeudos",NA,3,"2021"
"322VJM","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"322VJS","Adeudos",NA,4,"2018"
"322VJS","Adeudos",NA,4,"2019"
"322VJS","Adeudos",NA,4,"2020"
"322VJS","Adeudos",NA,4,"2021"
"322VJU","Sin adeudos",NA,0,"0"
"322VJV","Sin adeudos",NA,0,"0"
"322VKA","Sin adeudos",NA,0,"0"
"322VKB","Adeudos",NA,6,"2016"
"322VKB","Adeudos",NA,6,"2017"
"322VKB","Adeudos",NA,6,"2018"
"322VKB","Adeudos",NA,6,"2019"
"322VKB","Adeudos",NA,6,"2020"
"322VKB","Adeudos",NA,6,"2021"
"322VKD","Adeudos",NA,1,"2021"
"322VKF","Cuenta con Placa Anterior y Adeudos","195TNN",5,"2017"
"322VKF","Cuenta con Placa Anterior y Adeudos","195TNN",5,"2018"
"322VKF","Cuenta con Placa Anterior y Adeudos","195TNN",5,"2019"
"322VKF","Cuenta con Placa Anterior y Adeudos","195TNN",5,"2020"
"322VKF","Cuenta con Placa Anterior y Adeudos","195TNN",5,"2021"
"322VKH","Adeudos",NA,6,"2016"
"322VKH","Adeudos",NA,6,"2017"
"322VKH","Adeudos",NA,6,"2018"
"322VKH","Adeudos",NA,6,"2019"
"322VKH","Adeudos",NA,6,"2020"
"322VKH","Adeudos",NA,6,"2021"
"322VKL","Adeudos",NA,5,"2017"
"322VKL","Adeudos",NA,5,"2018"
"322VKL","Adeudos",NA,5,"2019"
"322VKL","Adeudos",NA,5,"2020"
"322VKL","Adeudos",NA,5,"2021"
"322VKP","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"322VKR","Sin adeudos",NA,0,"0"
"322VKT","Adeudos",NA,6,"2016"
"322VKT","Adeudos",NA,6,"2017"
"322VKT","Adeudos",NA,6,"2018"
"322VKT","Adeudos",NA,6,"2019"
"322VKT","Adeudos",NA,6,"2020"
"322VKT","Adeudos",NA,6,"2021"
"322VKX","Adeudos",NA,5,"2017"
"322VKX","Adeudos",NA,5,"2018"
"322VKX","Adeudos",NA,5,"2019"
"322VKX","Adeudos",NA,5,"2020"
"322VKX","Adeudos",NA,5,"2021"
"322VKY","Adeudos",NA,6,"2016"
"322VKY","Adeudos",NA,6,"2017"
"322VKY","Adeudos",NA,6,"2018"
"322VKY","Adeudos",NA,6,"2019"
"322VKY","Adeudos",NA,6,"2020"
"322VKY","Adeudos",NA,6,"2021"
"322VKZ","Adeudos",NA,3,"2019"
"322VKZ","Adeudos",NA,3,"2020"
"322VKZ","Adeudos",NA,3,"2021"
"322VLA","Cuenta con Placa Anterior y Adeudos","202PFL",6,"2016"
"322VLA","Cuenta con Placa Anterior y Adeudos","202PFL",6,"2017"
"322VLA","Cuenta con Placa Anterior y Adeudos","202PFL",6,"2018"
"322VLA","Cuenta con Placa Anterior y Adeudos","202PFL",6,"2019"
"322VLA","Cuenta con Placa Anterior y Adeudos","202PFL",6,"2020"
"322VLA","Cuenta con Placa Anterior y Adeudos","202PFL",6,"2021"
"322VLB","Adeudos",NA,1,"2021"
"322VLC","Sin adeudos",NA,0,"0"
"322VLD","Sin adeudos",NA,0,"0"
"322VLF","Sin adeudos",NA,0,"0"
"322VLG","Adeudos",NA,1,"2021"
"322VLJ","Adeudos",NA,6,"2016"
"322VLJ","Adeudos",NA,6,"2017"
"322VLJ","Adeudos",NA,6,"2018"
"322VLJ","Adeudos",NA,6,"2019"
"322VLJ","Adeudos",NA,6,"2020"
"322VLJ","Adeudos",NA,6,"2021"
"322VLM","Adeudos",NA,4,"2018"
"322VLM","Adeudos",NA,4,"2019"
"322VLM","Adeudos",NA,4,"2020"
"322VLM","Adeudos",NA,4,"2021"
"322VLN","Adeudos",NA,3,"2019"
"322VLN","Adeudos",NA,3,"2020"
"322VLN","Adeudos",NA,3,"2021"
"322VLP","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"322VLU","Adeudos",NA,5,"2017"
"322VLU","Adeudos",NA,5,"2018"
"322VLU","Adeudos",NA,5,"2019"
"322VLU","Adeudos",NA,5,"2020"
"322VLU","Adeudos",NA,5,"2021"
"322VMB","Adeudos",NA,5,"2017"
"322VMB","Adeudos",NA,5,"2018"
"322VMB","Adeudos",NA,5,"2019"
"322VMB","Adeudos",NA,5,"2020"
"322VMB","Adeudos",NA,5,"2021"
"322VMD","Sin adeudos",NA,0,"0"
"322VME","Sin adeudos",NA,0,"0"
"322VMJ","Adeudos",NA,2,"2020"
"322VMJ","Adeudos",NA,2,"2021"
"322VMR","Sin adeudos",NA,0,"0"
"322VMX","Adeudos",NA,3,"2019"
"322VMX","Adeudos",NA,3,"2020"
"322VMX","Adeudos",NA,3,"2021"
"322VMY","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"322VND","Adeudos",NA,6,"2016"
"322VND","Adeudos",NA,6,"2017"
"322VND","Adeudos",NA,6,"2018"
"322VND","Adeudos",NA,6,"2019"
"322VND","Adeudos",NA,6,"2020"
"322VND","Adeudos",NA,6,"2021"
"322VNK","Adeudos",NA,6,"2016"
"322VNK","Adeudos",NA,6,"2017"
"322VNK","Adeudos",NA,6,"2018"
"322VNK","Adeudos",NA,6,"2019"
"322VNK","Adeudos",NA,6,"2020"
"322VNK","Adeudos",NA,6,"2021"
"322VNM","Adeudos",NA,3,"2019"
"322VNM","Adeudos",NA,3,"2020"
"322VNM","Adeudos",NA,3,"2021"
"322VNU","Sin adeudos",NA,0,"0"
"322VPD","Adeudos",NA,4,"2018"
"322VPD","Adeudos",NA,4,"2019"
"322VPD","Adeudos",NA,4,"2020"
"322VPD","Adeudos",NA,4,"2021"
"322VPJ","Cuenta con Placa Anterior y Adeudos","729RYP",3,"2019"
"322VPJ","Cuenta con Placa Anterior y Adeudos","729RYP",3,"2020"
